"","ID","Date","PolicyType","PolicyValue","PolicyFlag","PolicyNotes","PolicySource"
"1463253","IT",2020-01-07,"I1D",0,NA,NA,"OxCGRT"
"1463254","IT",2020-01-07,"I2",0,NA,NA,"OxCGRT"
"1463255","IT",2020-01-07,"I2D",0,NA,NA,"OxCGRT"
"1463256","IT",2020-01-07,"I3",0,NA,NA,"OxCGRT"
"1463257","IT",2020-01-07,"I3D",0,NA,NA,"OxCGRT"
"1463258","IT",2020-01-07,"I4",0,NA,NA,"OxCGRT"
"1463259","IT",2020-01-07,"I4D",0,NA,NA,"OxCGRT"
"1463260","IT",2020-01-07,"I4L",0,NA,NA,"OxCGRT"
"1463261","IT",2020-01-07,"I4LD",0,NA,NA,"OxCGRT"
"1463262","IT",2020-01-07,"IC",NA,NA,NA,"OxCGRT"
"1463263","IT",2020-01-07,"ID",NA,NA,NA,"OxCGRT"
"1463264","IT",2020-01-07,"M1",NA,NA,NA,"OxCGRT"
"1463265","IT",2020-01-08,"C1",0,NA,NA,"OxCGRT"
"1463266","IT",2020-01-08,"C2",0,NA,NA,"OxCGRT"
"1463267","IT",2020-01-08,"C3",0,NA,NA,"OxCGRT"
"1463268","IT",2020-01-08,"C4",0,NA,NA,"OxCGRT"
"1463269","IT",2020-01-08,"C5",0,NA,NA,"OxCGRT"
"1463270","IT",2020-01-08,"C6",0,NA,NA,"OxCGRT"
"1463271","IT",2020-01-08,"C7",0,NA,NA,"OxCGRT"
"1463272","IT",2020-01-08,"C8",0,NA,NA,"OxCGRT"
"1463273","IT",2020-01-08,"E1",0,NA,NA,"OxCGRT"
"1463274","IT",2020-01-08,"E2",0,NA,NA,"OxCGRT"
"1463275","IT",2020-01-08,"E3",0,NA,NA,"OxCGRT"
"1463276","IT",2020-01-08,"E4",0,NA,NA,"OxCGRT"
"1463277","IT",2020-01-08,"H1",0,NA,NA,"OxCGRT"
"1463278","IT",2020-01-08,"H2",0,NA,NA,"OxCGRT"
"1463279","IT",2020-01-08,"H3",0,NA,NA,"OxCGRT"
"1463280","IT",2020-01-08,"H4",0,NA,NA,"OxCGRT"
"1463281","IT",2020-01-08,"H5",0,NA,NA,"OxCGRT"
"1463282","IT",2020-01-08,"H6",0,NA,NA,"OxCGRT"
"1463283","IT",2020-01-08,"H7",0,NA,NA,"OxCGRT"
"1463284","IT",2020-01-08,"I1",0,NA,NA,"OxCGRT"
"1463285","IT",2020-01-08,"I1D",0,NA,NA,"OxCGRT"
"1463286","IT",2020-01-08,"I2",0,NA,NA,"OxCGRT"
"1463287","IT",2020-01-08,"I2D",0,NA,NA,"OxCGRT"
"1463288","IT",2020-01-08,"I3",0,NA,NA,"OxCGRT"
"1463289","IT",2020-01-08,"I3D",0,NA,NA,"OxCGRT"
"1463290","IT",2020-01-08,"I4",0,NA,NA,"OxCGRT"
"1463291","IT",2020-01-08,"I4D",0,NA,NA,"OxCGRT"
"1463292","IT",2020-01-08,"I4L",0,NA,NA,"OxCGRT"
"1463293","IT",2020-01-08,"I4LD",0,NA,NA,"OxCGRT"
"1463294","IT",2020-01-08,"IC",NA,NA,NA,"OxCGRT"
"1463295","IT",2020-01-08,"ID",NA,NA,NA,"OxCGRT"
"1463296","IT",2020-01-08,"M1",NA,NA,NA,"OxCGRT"
"1463297","IT",2020-01-09,"C1",0,NA,NA,"OxCGRT"
"1463298","IT",2020-01-09,"C2",0,NA,NA,"OxCGRT"
"1463299","IT",2020-01-09,"C3",0,NA,NA,"OxCGRT"
"1463300","IT",2020-01-09,"C4",0,NA,NA,"OxCGRT"
"1463301","IT",2020-01-09,"C5",0,NA,NA,"OxCGRT"
"1463302","IT",2020-01-09,"C6",0,NA,NA,"OxCGRT"
"1463303","IT",2020-01-09,"C7",0,NA,NA,"OxCGRT"
"1463304","IT",2020-01-09,"C8",0,NA,NA,"OxCGRT"
"1463305","IT",2020-01-09,"E1",0,NA,NA,"OxCGRT"
"1463306","IT",2020-01-09,"E2",0,NA,NA,"OxCGRT"
"1463307","IT",2020-01-09,"E3",0,NA,NA,"OxCGRT"
"1463308","IT",2020-01-09,"E4",0,NA,NA,"OxCGRT"
"1463309","IT",2020-01-09,"H1",0,NA,NA,"OxCGRT"
"1463310","IT",2020-01-09,"H2",0,NA,NA,"OxCGRT"
"1463311","IT",2020-01-09,"H3",0,NA,NA,"OxCGRT"
"1463312","IT",2020-01-09,"H4",0,NA,NA,"OxCGRT"
"1463313","IT",2020-01-09,"H5",0,NA,NA,"OxCGRT"
"1463314","IT",2020-01-09,"H6",0,NA,NA,"OxCGRT"
"1463315","IT",2020-01-09,"H7",0,NA,NA,"OxCGRT"
"1463316","IT",2020-01-09,"I1",0,NA,NA,"OxCGRT"
"1463317","IT",2020-01-09,"I1D",0,NA,NA,"OxCGRT"
"1463318","IT",2020-01-09,"I2",0,NA,NA,"OxCGRT"
"1463319","IT",2020-01-09,"I2D",0,NA,NA,"OxCGRT"
"1463320","IT",2020-01-09,"I3",0,NA,NA,"OxCGRT"
"1463321","IT",2020-01-09,"I3D",0,NA,NA,"OxCGRT"
"1463322","IT",2020-01-09,"I4",0,NA,NA,"OxCGRT"
"1463323","IT",2020-01-09,"I4D",0,NA,NA,"OxCGRT"
"1463324","IT",2020-01-09,"I4L",0,NA,NA,"OxCGRT"
"1463325","IT",2020-01-09,"I4LD",0,NA,NA,"OxCGRT"
"1463326","IT",2020-01-09,"IC",NA,NA,NA,"OxCGRT"
"1463327","IT",2020-01-09,"ID",NA,NA,NA,"OxCGRT"
"1463328","IT",2020-01-09,"M1",NA,NA,NA,"OxCGRT"
"1463329","IT",2020-01-10,"C1",0,NA,NA,"OxCGRT"
"1463330","IT",2020-01-10,"C2",0,NA,NA,"OxCGRT"
"1463331","IT",2020-01-10,"C3",0,NA,NA,"OxCGRT"
"1463332","IT",2020-01-10,"C4",0,NA,NA,"OxCGRT"
"1463333","IT",2020-01-10,"C5",0,NA,NA,"OxCGRT"
"1463334","IT",2020-01-10,"C6",0,NA,NA,"OxCGRT"
"1463335","IT",2020-01-10,"C7",0,NA,NA,"OxCGRT"
"1463336","IT",2020-01-10,"C8",0,NA,NA,"OxCGRT"
"1463337","IT",2020-01-10,"E1",0,NA,NA,"OxCGRT"
"1463338","IT",2020-01-10,"E2",0,NA,NA,"OxCGRT"
"1463339","IT",2020-01-10,"E3",0,NA,NA,"OxCGRT"
"1463340","IT",2020-01-10,"E4",0,NA,NA,"OxCGRT"
"1463341","IT",2020-01-10,"H1",0,NA,NA,"OxCGRT"
"1463342","IT",2020-01-10,"H2",0,NA,NA,"OxCGRT"
"1463343","IT",2020-01-10,"H3",0,NA,NA,"OxCGRT"
"1463344","IT",2020-01-10,"H4",0,NA,NA,"OxCGRT"
"1463345","IT",2020-01-10,"H5",0,NA,NA,"OxCGRT"
"1463346","IT",2020-01-10,"H6",0,NA,NA,"OxCGRT"
"1463347","IT",2020-01-10,"H7",0,NA,NA,"OxCGRT"
"1463348","IT",2020-01-10,"I1",0,NA,NA,"OxCGRT"
"1463349","IT",2020-01-10,"I1D",0,NA,NA,"OxCGRT"
